Product Type,Master Key,Canvas Width (Pixels),Canvas Height (Pixels),Canvas DPI,Canvas Color,Font Name,Font Size (points),Font Line Height,Line Y-Axis,Font Weight,Font Width,Font Slant,Font Style,Vertically Scale,Text Alignment with canvas,Paragraph,X-Logo_ X-Axis,X-Logo_Y- Axis,Red X File Name,White X File Name
hat,120,1200,525,300,Transparent,Acumin VF,28.622,28.622,239.6,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,573,423,red_70x63.png,white_70x63.png
hat,120.5,1200,525,300,Transparent,Acumin VF,29.338,29.338,236.54,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,573,423,red_70x63.png,white_70x63.png
hat,121.42,1200,525,300,Transparent,Acumin VF,30.654,30.654,230.96,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,573,423,red_70x63.png,white_70x63.png
hat,122,1200,525,300,Transparent,Acumin VF,31.484,31.484,227.43,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,573,423,red_70x63.png,white_70x63.png
hat,122.5,1200,525,300,Transparent,Acumin VF,32.2,32.2,218.37,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,570,417,red_76x68.png,white_76x68.png
hat,123,1200,525,300,Transparent,Acumin VF,32.916,32.916,215.31,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,570,417,red_76x68.png,white_76x68.png
hat,220,1200,525,300,Transparent,Acumin VF,24.533,33.0382222,119.01,825,50,0,ExtraCondensed Black-826,120%,Center,Center Text,573,423,red_70x63.png,white_70x63.png
hat,220.5,1200,525,300,Transparent,Acumin VF,29.338,39.2022222,72.54,825,50,0,ExtraCondensed Black-827,120%,Center,Center Text,573,423,red_70x63.png,white_70x63.png
hat,221.42,1200,525,300,Transparent,Acumin VF,30.654,39.8666667,63.96,825,50,0,ExtraCondensed Black-828,120%,Center,Center Text,573,423,red_70x63.png,white_70x63.png
hat,222,1200,525,300,Transparent,Acumin VF,31.484,41.86,52.43,825,50,0,ExtraCondensed Black-829,120%,Center,Center Text,573,423,red_70x63.png,white_70x63.png
hat,222.5,1200,525,300,Transparent,Acumin VF,32.2,42.5244444,40.37,825,50,0,ExtraCondensed Black-830,120%,Center,Center Text,570,417,red_76x68.png,white_76x68.png
hat,223,1200,525,300,Transparent,Acumin VF,32.916,43.1888889,35.31,825,50,0,ExtraCondensed Black-831,120%,Center,Center Text,570,417,red_76x68.png,white_76x68.png
hat,320,1200,525,300,Transparent,Acumin VF,24.533,30.55,20.01,825,50,0,ExtraCondensed Black-832,120%,Center,Center Text,576,429,red_65x58.png,white_65x58.png
hat,320.5,1200,525,300,Transparent,Acumin VF,24.533,30.55,20.01,825,50,0,ExtraCondensed Black-833,120%,Center,Center Text,576,429,red_65x58.png,white_65x58.png
hat,321.42,1200,525,300,Transparent,Acumin VF,24.533,30.55,20.01,825,50,0,ExtraCondensed Black-834,120%,Center,Center Text,576,429,red_65x58.png,white_65x58.png
hat,322,1200,525,300,Transparent,Acumin VF,24.533,30.55,20.01,825,50,0,ExtraCondensed Black-835,120%,Center,Center Text,576,429,red_65x58.png,white_65x58.png
hat,322.5,1200,525,300,Transparent,Acumin VF,24.533,30.55,20.01,825,50,0,ExtraCondensed Black-836,120%,Center,Center Text,576,429,red_65x58.png,white_65x58.png
hat,323,1200,525,300,Transparent,Acumin VF,24.533,30.55,20.01,825,50,0,ExtraCondensed Black-837,120%,Center,Center Text,576,429,red_65x58.png,white_65x58.png
