Product Type,Master Key,Canvas Width (Pixels),Canvas Height (Pixels),Canvas DPI,Canvas Color,Font Name,Font Size (points),Font Line Height,Line Y-Axis,Font Weight,Font Width,Font Slant,Font Style,Vertically Scale,Text Alignment with canvas,Paragraph,X-Logo_ X-Axis,X-Logo_Y- Axis,Red X File Name,White X File Name
hoodie,120,3600,3600,300,Transparent,Acumin VF,81.78,81.78,797.31,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,120.5,3600,3600,300,Transparent,Acumin VF,83.82,83.82,795.63,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,121.42,3600,3600,300,Transparent,Acumin VF,87.58,87.58,792.63,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,122,3600,3600,300,Transparent,Acumin VF,89.96,89.96,790.5,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,122.5,3600,3600,300,Transparent,Acumin VF,92,92,788.82,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,123,3600,3600,300,Transparent,Acumin VF,94.04,94.04,786.14,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,220,3600,3600,300,Transparent,Acumin VF,81.78,118.58,620.31,825,50,0,ExtraCondensed Black-826,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,220.5,3600,3600,300,Transparent,Acumin VF,83.82,120.62,619.63,825,50,0,ExtraCondensed Black-827,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,221.42,3600,3600,300,Transparent,Acumin VF,87.58,122.67,616.63,825,50,0,ExtraCondensed Black-828,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,222,3600,3600,300,Transparent,Acumin VF,89.96,128.8,614.5,825,50,0,ExtraCondensed Black-829,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,222.5,3600,3600,300,Transparent,Acumin VF,92,130.84,612.84,825,50,0,ExtraCondensed Black-830,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,223,3600,3600,300,Transparent,Acumin VF,94.04,132.89,611.14,825,50,0,ExtraCondensed Black-831,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,320,3600,3600,300,Transparent,Acumin VF,81.78,114.49,611.31,825,50,0,ExtraCondensed Black-832,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,320.5,3600,3600,300,Transparent,Acumin VF,83.82,114.49,609.63,825,50,0,ExtraCondensed Black-833,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,321.42,3600,3600,300,Transparent,Acumin VF,87.58,114.49,606.63,825,50,0,ExtraCondensed Black-834,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,322,3600,3600,300,Transparent,Acumin VF,89.96,116.53,605.5,825,50,0,ExtraCondensed Black-835,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,322.5,3600,3600,300,Transparent,Acumin VF,92,118.58,603.82,825,50,0,ExtraCondensed Black-836,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
hoodie,323,3600,3600,300,Transparent,Acumin VF,94.04,118.58,602.14,825,50,0,ExtraCondensed Black-837,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
