Product Type,Master Key,Canvas Width (Pixels),Canvas Height (Pixels),Canvas DPI,Canvas Color,Font Name,Font Size (points),Font Line Height,Line Y-Axis,Font Weight,Font Width,Font Slant,Font Style,Vertically Scale,Text Alignment with canvas,Paragraph,X-Logo_ X-Axis,X-Logo_Y- Axis,Red X File Name,White X File Name
mug,120,2475,1155,300,Transparent,Acumin VF,22.5,22.5,512.62,825,50,0,ExtraCondensed Black-825,120%,1978,Center Text,1947,678,red_85x75.png,white_85x75.png
mug,120.5,2475,1155,300,Transparent,Acumin VF,23.5,23.5,509.36,825,50,0,ExtraCondensed Black-825,120%,1978,Center Text,1947,681,red_85x75.png,white_85x75.png
mug,121.42,2475,1155,300,Transparent,Acumin VF,24,24,509.24,825,50,0,ExtraCondensed Black-825,120%,1978,Center Text,1947,684,red_85x75.png,white_85x75.png
mug,122,2475,1155,300,Transparent,Acumin VF,26.75,26.75,499.53,825,50,0,ExtraCondensed Black-825,120%,1978,Center Text,1944,684,red_92x82.png,white_92x82.png
mug,122.5,2475,1155,300,Transparent,Acumin VF,29,29,492.96,825,50,0,ExtraCondensed Black-825,120%,1978,Center Text,1941,687,red_99x89.png,white_99x89.png
mug,123,2475,1155,300,Transparent,Acumin VF,36,36,471.18,825,50,0,ExtraCondensed Black-825,120%,1978,Center Text,1938,696,red_111x99.png,white_111x99.png
mug,220,2475,1155,300,Transparent,Acumin VF,20.5,31,457.13,825,50,0,ExtraCondensed Black-826,120%,1978,Center Text,1947,744,red_85x75.png,white_85x75.png
mug,220.5,2475,1155,300,Transparent,Acumin VF,23.5,34.5,436.36,825,50,0,ExtraCondensed Black-827,120%,1978,Center Text,1947,753,red_85x75.png,white_85x75.png
mug,221.42,2475,1155,300,Transparent,Acumin VF,24,36,433.24,825,50,0,ExtraCondensed Black-828,120%,1978,Center Text,1947,756,red_85x75.png,white_85x75.png
mug,222,2475,1155,300,Transparent,Acumin VF,26.75,39,422.53,825,50,0,ExtraCondensed Black-829,120%,1978,Center Text,1944,771,red_92x82.png,white_92x82.png
mug,222.5,2475,1155,300,Transparent,Acumin VF,29,42,403.96,825,50,0,ExtraCondensed Black-830,120%,1978,Center Text,1941,774,red_99x89.png,white_99x89.png
mug,223,2475,1155,300,Transparent,Acumin VF,36,52,360.18,825,50,0,ExtraCondensed Black-831,120%,1978,Center Text,1938,801,red_111x99.png,white_111x99.png
mug,320,2475,1155,300,Transparent,Acumin VF,21,31,391,825,50,0,ExtraCondensed Black-832,120%,1978,Center Text,1947,810,red_85x75.png,white_85x75.png
mug,320.5,2475,1155,300,Transparent,Acumin VF,23.5,34.5,365.36,825,50,0,ExtraCondensed Black-833,120%,1978,Center Text,1947,825,red_85x75.png,white_85x75.png
mug,321.42,2475,1155,300,Transparent,Acumin VF,24,36,362.24,825,50,0,ExtraCondensed Black-834,120%,1978,Center Text,1947,834,red_85x75.png,white_85x75.png
mug,322,2475,1155,300,Transparent,Acumin VF,26.75,39,336.53,825,50,0,ExtraCondensed Black-835,120%,1978,Center Text,1944,846,red_92x82.png,white_92x82.png
mug,322.5,2475,1155,300,Transparent,Acumin VF,29,41,287.96,825,50,0,ExtraCondensed Black-836,120%,1978,Center Text,1941,825,red_99x89.png,white_99x89.png
mug,323,2475,1155,300,Transparent,Acumin VF,33,46,262.94,825,50,0,ExtraCondensed Black-837,120%,1978,Center Text,1938,861,red_111x99.png,white_111x99.png
