Product Type,Master Key,Canvas Width (Pixels),Canvas Height (Pixels),Canvas DPI,Canvas Color,Font Name,Font Size (points),Font Line Height,Line Y-Axis,Font Weight,Font Width,Font Slant,Font Style,Vertically Scale,Text Alignment with canvas,Paragraph,X-Logo_ X-Axis,X-Logo_Y- Axis,Red X File Name,White X File Name
shirt,120,4500,5100,300,Transparent,Acumin VF,81.778,81.778,464.31,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,2148,975,red_270x241.png,white_270x241.png
shirt,120.5,4500,5100,300,Transparent,Acumin VF,83.822,83.822,460.63,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,2148,981,red_270x241.png,white_270x241.png
shirt,121.42,4500,5100,300,Transparent,Acumin VF,87.584,87.584,458.63,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,2148,996,red_270x241.png,white_270x241.png
shirt,122,4500,5100,300,Transparent,Acumin VF,89.956,89.956,456.5,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,2148,1005,red_270x241.png,white_270x241.png
shirt,122.5,4500,5100,300,Transparent,Acumin VF,92,92,455.82,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,2148,1011,red_270x241.png,white_270x241.png
shirt,123,4500,5100,300,Transparent,Acumin VF,94.044,94.044,453.14,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,2148,1017,red_270x241.png,white_270x241.png
shirt,220,4500,5100,300,Transparent,Acumin VF,81.778,118.5777778,351.31,825,50,0,ExtraCondensed Black-826,120%,Center,Center Text,2148,1359,red_270x241.png,white_270x241.png
shirt,220.5,4500,5100,300,Transparent,Acumin VF,83.822,120.6222222,347.63,825,50,0,ExtraCondensed Black-827,120%,Center,Center Text,2148,1368,red_270x241.png,white_270x241.png
shirt,221.42,4500,5100,300,Transparent,Acumin VF,87.584,122.6666667,343.63,825,50,0,ExtraCondensed Black-828,120%,Center,Center Text,2148,1389,red_270x241.png,white_270x241.png
shirt,222,4500,5100,300,Transparent,Acumin VF,89.956,128.8,342.5,825,50,0,ExtraCondensed Black-829,120%,Center,Center Text,2148,1425,red_270x241.png,white_270x241.png
shirt,222.5,4500,5100,300,Transparent,Acumin VF,92,130.8444444,340.82,825,50,0,ExtraCondensed Black-830,120%,Center,Center Text,2148,1440,red_270x241.png,white_270x241.png
shirt,223,4500,5100,300,Transparent,Acumin VF,94.044,132.8888889,342.14,825,50,0,ExtraCondensed Black-831,120%,Center,Center Text,2148,1461,red_270x241.png,white_270x241.png
shirt,320,4500,5100,300,Transparent,Acumin VF,81.778,114.4888889,167.31,825,50,0,ExtraCondensed Black-832,120%,Center,Center Text,2148,1638,red_270x241.png,white_270x241.png
shirt,320.5,4500,5100,300,Transparent,Acumin VF,83.822,114.4888889,168.63,825,50,0,ExtraCondensed Black-833,120%,Center,Center Text,2148,1644,red_270x241.png,white_270x241.png
shirt,321.42,4500,5100,300,Transparent,Acumin VF,87.584,114.4888889,162.63,825,50,0,ExtraCondensed Black-834,120%,Center,Center Text,2148,1584,red_270x241.png,white_270x241.png
shirt,322,4500,5100,300,Transparent,Acumin VF,89.956,116.5333333,163.5,825,50,0,ExtraCondensed Black-835,120%,Center,Center Text,2148,1686,red_270x241.png,white_270x241.png
shirt,322.5,4500,5100,300,Transparent,Acumin VF,92,118.5777778,158.82,825,50,0,ExtraCondensed Black-836,120%,Center,Center Text,2148,1704,red_270x241.png,white_270x241.png
shirt,323,4500,5100,300,Transparent,Acumin VF,94.044,118.5777778,157.14,825,50,0,ExtraCondensed Black-837,120%,Center,Center Text,2148,1710,red_270x241.png,white_270x241.png
