Product Type,Master Key,Canvas Width (Pixels),Canvas Height (Pixels),Canvas DPI,Canvas Color,Font Name,Font Size (points),Font Line Height,Line Y-Axis,Font Weight,Font Width,Font Slant,Font Style,Vertically Scale,Text Alignment with canvas,Paragraph,X-Logo_ X-Axis,X-Logo_Y- Axis,Red X File Name,White X File Name
sweatshirt,120,3600,4800,300,Transparent,Acumin VF,81.778,81.778,650.31,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,1698,1161,red_270x241.png,white_270x241.png
sweatshirt,120.5,3600,4800,300,Transparent,Acumin VF,83.822,83.822,649.63,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,1698,1170,red_270x241.png,white_270x241.png
sweatshirt,121.42,3600,4800,300,Transparent,Acumin VF,87.584,87.584,644.63,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,1698,1182,red_270x241.png,white_270x241.png
sweatshirt,122,3600,4800,300,Transparent,Acumin VF,89.956,89.956,642.5,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,1698,1191,red_270x241.png,white_270x241.png
sweatshirt,122.5,3600,4800,300,Transparent,Acumin VF,92,92,639.82,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,1698,1197,red_270x241.png,white_270x241.png
sweatshirt,123,3600,4800,300,Transparent,Acumin VF,94.044,94.044,638.14,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,1698,1203,red_270x241.png,white_270x241.png
sweatshirt,220,3600,4800,300,Transparent,Acumin VF,81.778,118.5777778,523.31,825,50,0,ExtraCondensed Black-826,120%,Center,Center Text,1698,1530,red_270x241.png,white_270x241.png
sweatshirt,220.5,3600,4800,300,Transparent,Acumin VF,83.822,120.6222222,521.63,825,50,0,ExtraCondensed Black-827,120%,Center,Center Text,1698,1545,red_270x241.png,white_270x241.png
sweatshirt,221.42,3600,4800,300,Transparent,Acumin VF,87.584,122.6666667,519.63,825,50,0,ExtraCondensed Black-828,120%,Center,Center Text,1698,1569,red_270x241.png,white_270x241.png
sweatshirt,222,3600,4800,300,Transparent,Acumin VF,89.956,128.8,517.5,825,50,0,ExtraCondensed Black-829,120%,Center,Center Text,1698,1599,red_270x241.png,white_270x241.png
sweatshirt,222.5,3600,4800,300,Transparent,Acumin VF,92,130.8444444,515.82,825,50,0,ExtraCondensed Black-830,120%,Center,Center Text,1698,1617,red_270x241.png,white_270x241.png
sweatshirt,223,3600,4800,300,Transparent,Acumin VF,94.044,132.8888889,511.14,825,50,0,ExtraCondensed Black-831,120%,Center,Center Text,1698,1632,red_270x241.png,white_270x241.png
sweatshirt,320,3600,4800,300,Transparent,Acumin VF,81.778,114.4888889,349.31,825,50,0,ExtraCondensed Black-832,120%,Center,Center Text,1698,1815,red_270x241.png,white_270x241.png
sweatshirt,320.5,3600,4800,300,Transparent,Acumin VF,83.822,114.4888889,346.63,825,50,0,ExtraCondensed Black-833,120%,Center,Center Text,1698,1824,red_270x241.png,white_270x241.png
sweatshirt,321.42,3600,4800,300,Transparent,Acumin VF,87.584,114.4888889,344.63,825,50,0,ExtraCondensed Black-834,120%,Center,Center Text,1698,1836,red_270x241.png,white_270x241.png
sweatshirt,322,3600,4800,300,Transparent,Acumin VF,89.956,116.5333333,341.5,825,50,0,ExtraCondensed Black-835,120%,Center,Center Text,1698,1860,red_270x241.png,white_270x241.png
sweatshirt,322.5,3600,4800,300,Transparent,Acumin VF,92,118.5777778,342.82,825,50,0,ExtraCondensed Black-836,120%,Center,Center Text,1698,1887,red_270x241.png,white_270x241.png
sweatshirt,323,3600,4800,300,Transparent,Acumin VF,94.044,118.5777778,339.14,825,50,0,ExtraCondensed Black-837,120%,Center,Center Text,1698,1893,red_270x241.png,white_270x241.png
