Product Type,Master Key,Canvas Width (Pixels),Canvas Height (Pixels),Canvas DPI,Canvas Color,Font Name,Font Size (points),Font Line Height,Line Y-Axis,Font Weight,Font Width,Font Slant,Font Style,Vertically Scale,Text Alignment with canvas,Paragraph,X-Logo_ X-Axis,X-Logo_Y- Axis,Red X File Name,White X File Name
womans-shirt,120,3000,4200,300,Transparent,Acumin VF,69.511,69.51,473.52,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,120.5,3000,4200,300,Transparent,Acumin VF,71.249,71.25,472.11,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,121.42,3000,4200,300,Transparent,Acumin VF,74.446,74.45,469.5,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,122,3000,4200,300,Transparent,Acumin VF,76.462,76.46,468.82,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,122.5,3000,4200,300,Transparent,Acumin VF,78.2,78.2,467.54,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,123,3000,4200,300,Transparent,Acumin VF,79.938,79.94,466.14,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,220,3000,4200,300,Transparent,Acumin VF,65.422,100.79,351.92,825,50,0,ExtraCondensed Black-826,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,220.5,3000,4200,300,Transparent,Acumin VF,71.249,102.53,347.11,825,50,0,ExtraCondensed Black-827,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,221.42,3000,4200,300,Transparent,Acumin VF,74.446,104.27,344.5,825,50,0,ExtraCondensed Black-828,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,222,3000,4200,300,Transparent,Acumin VF,76.462,109.48,341.82,825,50,0,ExtraCondensed Black-829,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,222.5,3000,4200,300,Transparent,Acumin VF,78.2,111.22,340.54,825,50,0,ExtraCondensed Black-830,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,223,3000,4200,300,Transparent,Acumin VF,79.938,112.96,339.14,825,50,0,ExtraCondensed Black-831,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,320,3000,4200,300,Transparent,Acumin VF,65.422,97.32,173.92,825,50,0,ExtraCondensed Black-832,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,320.5,3000,4200,300,Transparent,Acumin VF,71.249,97.32,170.11,825,50,0,ExtraCondensed Black-833,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,321.42,3000,4200,300,Transparent,Acumin VF,74.446,97.32,176.5,825,50,0,ExtraCondensed Black-834,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,322,3000,4200,300,Transparent,Acumin VF,76.462,99.05,169.95,825,50,0,ExtraCondensed Black-835,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,322.5,3000,4200,300,Transparent,Acumin VF,78.2,100.79,164.54,825,50,0,ExtraCondensed Black-836,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
womans-shirt,323,3000,4200,300,Transparent,Acumin VF,79.938,100.79,163.14,825,50,0,ExtraCondensed Black-837,120%,Center,Center Text,229.63,205.06,red_229x205.png,white_229x205.png
