Saying File Name,Saying Line Breaks,Master Key
26,Cash is my preferred gift,121.42
732,"Alcohol,\r\nit doesn't not help",223
788,The only culture\r\n we should cancel\r\n...is cancel culture,323
4,A mismatch made in heaven,120.5
5,"Take credit, not responsibility",120.5
6,"You overthink, I barely think",120.5
7,I literally do not give a shit,121.42
8,On my parent's phone plan,121.42
9,I literally am taking a shit,121.42
10,My personality is a disorder,121.42
11,There's no crying in theater,121.42
12,I failed my personality test,121.42
13,Do you need help with rent?,121.42
14,Addicted to procrastination,121.42
15,"Light sleeper, deep thinker",121.42
16,She said listen...not solve,121.42
17,Not interested in strangers,121.42
18,Sedated for your protection,121.42
19,I party harder than I work,121.42
20,I experiment with sobriety,121.42
21,Too busy for your bullshit,121.42
22,It's always worth the high,121.42
23,Abortions are for quitters,121.42
24,Fantasy Football Captain,121.42
25,OnlyFans paid for college,121.42
26,Cash is my preferred gift,121.42
27,I won't see you in heaven,121.42
28,Bad habits are my routine,121.42
29,Being a rebel is my cause,121.42
30,My friends are in my head,121.42
31,The solution is 6 feet under,121.42
32,"Drink today, cry tomorrow",121.42
33,TSA pat downs are my kink,121.42
34,My uncle loves me...a lot,121.42
35,Adult gender reveal party,121.42
36,I am a shitty human being,121.42
37,I get fomo when I'm there,121.42
38,Ass smellin puppy kisses,121.42
39,Hungover for my own good,121.42
40,Daddy controls the money,121.42
41,Ask me about my lobotomy,121.42
42,Robots have feelings too,121.42
43,Where do atheist dogs go?,121.42
44,My parents gave up on me,121.42
45,I cheated on my eye exam,121.42
46,My nose skis on weekends,121.42
47,Have you seen my sanity?,121.42
48,I get more respect naked,121.42
49,Drugs are addicted to me,121.42
50,Thank my plastic surgeon,121.42
51,Looking for my 2nd Daddy,121.42
52,Can you see my dick now?,121.42
53,Walk of shame supermodel,121.42
54,The devil knows me best,121.42
55,Abraham Lincoln Theater,121.42
56,Shut your mouth grandpa,121.42
57,Shut your mouth grandma,121.42
58,"Save waves, surf crowds",121.42
59,Anyone heard from Amber?,121.42
60,Most humble person ever,121.42
61,"Give head, not headaches",121.42
62,Emotional support human,121.42
63,I need a HUG & a HUNDY,121.42
64,"Send memes, not prayers",121.42
65,Your mom would love me,121.42
66,What does IFYKYK mean?,121.42
67,My dad never came back,121.42
68,Remind me to remember,121.42
69,"50% Sassy, 50% asshole",121.42
70,Have you seen my mom?,121.42
71,Born again (& again) virgin,121.42
72,Say no to microwaved fish,121.42
73,My intruisive thoughts won,121.42
74,Searching for moon rocks,121.42
75,What gender is trending?,121.42
76,"Sexy, confident & stupid",122
77,Seriously...not interested,122
78,Either on my level or not,122
79,Punk rock ruined my life,122
80,Every hole begins with K,122
81,White chocolate fantasy,122
82,"Cows are vegan, I'm not",122
83,DM's are my mating call,122
84,I'm popular on OnlyFans,122
85,Jan 6th Capitol Reunion,122
86,I'm gonna tell your mom,122
87,One day closer to death,122
88,"Green card, apply below",122
89,Gave my kid lung cancer,122
90,Lazy Type-A Personality,122
91,"Knock knock, who cares",122
92,Have you seen my dad?,122
93,"Lost husband, no reward.",122
94,Check (deez nuts) Mate,122
95,"I'm not cold, I'm on meth",122
96,Everyone has a number,122
97,Future alimony recipient,122
98,I'm famous on MySpace,122
99,"I'm not cold, I'm on crack",122
100,All bitches go to heaven,122
101,Seriously...I'd rather die,122.5
102,I slept with a reptillian,122.5
103,"Last cigarette, don't ask",122.5
104,I found ecstasy in a pill,122.5
105,"Introverted, don't say hi",122.5
106,7 figures and I'll listen,122.5
107,Pocket full of mulligans,122.5
108,Siri was my first friend,122.5
109,I don't want to be fixed,122.5
110,I'm a rebel just because,122.5
111,I put baby in the corner,122.5
112,I need a life cheat code,122.5
113,Spoiler alert...I'm busy,122.5
114,I prefer to talk to dogs,122.5
115,I'm too tired to be woke,122.5
116,Waiting to procrastinate,122.5
117,Classless is in session,122.5
118,"Whiskey neat, sex dirty",122.5
119,Society wants to fix me,122.5
120,Built for bad decisions,122.5
121,It's not rocket surgery,122.5
122,My belly is an illusion,122.5
123,I'll work when I'm dead,122.5
124,Pimpin' ain't that hard,122.5
125,This shirt's a knockoff,122.5
126,I took a spill in Ibiza,122.5
127,Born rich & depressed,122.5
128,Republican lives matter,122.5
129,"Not friendly, will bite",122.5
130,Plan A is always Plan B,122.5
131,My dad went to get milk,122.5
132,Slip & fall candidate,122.5
133,Dog mom is not friendly,122.5
134,Let's get bathroom high,122.5
135,My baby's in the corner,122.5
136,I'll order the fellatio,122.5
137,"Fake it, till we make it",122.5
138,Hobbies are for losers,122.5
139,IYKYK...(I don't know),122.5
140,I'm trending on TikTok,122.5
141,Take me to your dealer,122.5
142,Lost me at zodiac sign,122.5
143,Left my sanity at home,122.5
144,Top of the class(less),122.5
145,Alcohol treats me best,122.5
146,I'm a mama's nonbinary,122.5
147,Casting couch director,122.5
148,"DMs full, don't bother",122.5
149,Tell your mom I say hi,122.5
150,I'm a pretty good drug,122.5
151,Masks are so last year,122.5
152,I remembered to forget,122.5
153,Sweating out the drugs,122.5
154,Chaos is my safe space,122.5
155,"Work hard, play harder",122.5
156,Dog ate my personality,122.5
157,Hopefully not a father,122.5
158,God's favorite mistake,122.5
159,Undrafted sports star,122.5
160,2020: Year of the bat,122.5
161,"Real shirt, fake belly",122.5
162,What's your OnlyFans?,122.5
163,Thank your mom for me,122.5
164,Addicted to addiction,122.5
165,I like you dead more,122.5
166,Nasal by Calvin Klein,122.5
167,I might be your daddy,122.5
168,CULTivating followers,122.5
169,On the bitch spectrum,122.5
170,Have you found Satan?,122.5
171,Looking for a lawsuit,122.5
172,Carpe procrastination,122.5
173,Adderall is my coffee,122.5
174,Politically incorrect,122.5
175,Have you seen my kid?,122.5
176,Biden for babysitting,122.5
177,At least Siri gets me,122.5
178,My tits are down here,122.5
179,"Lost wife, no reward.",122.5
180,Just pretend I'm ugly,122.5
181,punctuation; Matter?,122.5
182,Bathroom stall party,122.5
183,I dabble in sobriety,122.5
184,Livin' La Vida Prenup,122.5
185,I only squat to crap,122.5
186,Divorced & Desperate,122.5
187,Not supposed to work,122.5
188,Just blame the devil,122.5
189,Unplanned Parenthood,122.5
190,Have you shat today?,122.5
191,"Just rebel, no cause",122.5
192,Failure is an option,122.5
193,My love runs shallow,122.5
194,Freedom or marriage?,122.5
195,You lost me at hello,122.5
196,My MAGA hat fell off,122.5
197,My therapist gave up,122.5
198,It's 4:20 somewhere,122.5
199,Proud to be hungover,122.5
200,Dry T-shirt Champion,122.5
201,Even Siri ignores me,122.5
202,Literally brain dead,122.5
203,Don't talk to my dog,122.5
204,A daddy with no kids,122.5
205,Living my worst life,122.5
206,Walk of shame winner,122.5
207,Hung like a seahorse,122.5
208,I'm actually asleep,122.5
209,Purchased arm candy,122.5
210,"Bond, James Bondage",122.5
211,Malibu lives matter,122.5
212,Smells like cocaine,122.5
213,I'm just high on me,122.5
214,Wanna trade shirts?,122.5
215,Cashmere is G.O.A.T,122.5
216,Unplanned childhood,122.5
217,Pretend I'm a ghost,122.5
218,Seriously sarcastic,122.5
219,Wanna join my cult?,122.5
220,Last night survivor,122.5
221,Fictional character,122.5
222,It's 4:20 somewhere,122.5
223,Peaked in preschool,122.5
224,It's 11am somewhere,122.5
225,Low battery phobia,122.5
226,Aspen lives matter,122.5
227,Robot lives matter,122.5
228,Believe everything,122.5
229,Cleaning fee drunk,122.5
230,High in my Calvins,122.5
231,Ask me in 3 drinks,122.5
232,Easily manipulated,122.5
233,Amber heard voices,122.5
234,You're not my type,122.5
235,Topless underneath,122.5
236,In search of chaos,122.5
237,Proud of my cuntry,122.5
238,Seeking validation,122.5
239,Negative influence,122.5
